smiles,minimum_degree,MW,HBD,num_rings,num_rotatable_bonds,TPSA,solubility
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,1,457.432,7,3,7,202.32,-0.77
Cc1occc1C(=O)Nc2ccccc2,1,201.225,1,2,2,42.24,-3.3
CC(C)=CCCC(C)=CC(=O),1,152.237,0,0,4,17.07,-2.06
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,2,278.354,0,5,0,0,-7.87
c1ccsc1,2,84.143,0,1,0,0,-1.33
c2ccc1scnc1c2 ,2,135.191,0,2,0,12.89,-1.5
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,1,326.437,0,2,1,0,-7.32
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,1,272.388,2,4,0,40.46,-5.03
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,1,380.913,0,5,0,12.53,-6.29
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,1,394.423,0,5,3,63.22,-4.42
O=C1CCCN1,1,85.106,1,1,0,29.1,1.07
Clc1ccc2ccccc2c1,1,162.619,0,2,0,0,-4.14
CCCC=C,1,70.135,0,0,2,0,-2.68
CCC1(C(=O)NCNC1=O)c2ccccc2,1,218.256,2,2,2,58.2,-2.64
CCCCCCCCCCCCCC,1,198.394,0,0,11,0,-7.96
CC(C)Cl,1,78.542,0,0,0,0,-1.41
CCC(C)CO,1,88.15,1,0,2,20.23,-0.47
N#Cc1ccccc1,1,103.124,0,1,0,23.79,-1
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,1,304.352,0,1,7,53.47,-3.64
CCCCCCCCCC(C)O,1,172.312,1,0,8,20.23,-2.94
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,1,326.437,0,2,1,0,-7.43
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,1,234.299,1,3,1,54.86,-4.594
CCOP(=S)(OCC)SCSCC,1,260.386,0,0,8,18.46,-4.11
CCOc1ccc(NC(=O)C)cc1,1,179.219,1,1,3,38.33,-2.35
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,1,322.243,1,1,5,115.54,-5.47
CCCCCCCO,1,116.204,1,0,5,20.23,-1.81
Cn1c(=O)n(C)c2nc[nH]c2c1=O,1,180.167,1,2,0,72.68,-1.39
CCCCC1(CC)C(=O)NC(=O)NC1=O,1,212.249,2,1,4,75.27,-1.661
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,1,318.03,0,2,2,0,-6.9
CCCCCCCC(=O)OC,1,158.241,0,0,6,26.3,-3.17
CCc1ccc(CC)cc1,1,134.222,0,1,2,0,-3.75
CCOP(=S)(OCC)SCSC(C)(C)C,1,288.44,0,0,7,18.46,-4.755
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1,300.314,2,2,3,76.66,-4.805
ClC(=C)Cl,1,96.944,0,0,0,0,-1.64
Cc1cccc2c1Cc3ccccc32,1,180.25,0,3,0,0,-5.22
CCCCC=O,1,86.134,0,0,3,17.07,-0.85
N(c1ccccc1)c2ccccc2,2,169.227,1,2,2,12.03,-3.504
CN(C)C(=O)SCCCCOc1ccccc1,1,253.367,0,1,6,29.54,-3.927
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1,353.49,0,1,9,38.77,-4.15
CCCCCCCI,1,226.101,0,0,5,0,-4.81
c1c(Cl)cccc1c2ccccc2,1,188.657,0,2,1,0,-4.88
OCCCC=C,1,86.134,1,0,3,20.23,-0.15
O=C2NC(=O)C1(CCC1)C(=O)N2,1,168.152,2,2,0,75.27,-1.655
CC(C)C1CCC(C)CC1O ,1,156.269,1,1,1,20.23,-2.53
CC(C)OC=O,1,88.106,0,0,2,26.3,-0.63
CCCCCC(C)O,1,116.204,1,0,4,20.23,-1.55
CC(=O)Nc1ccc(Br)cc1,1,214.062,1,1,1,29.1,-3.083
c1ccccc1n2ncc(N)c(Br)c2(=O),1,266.098,1,2,1,60.91,-3.127
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,1,346.339,1,2,4,107.77,-4.76
c2c(C)cc1nc(C)ccc1c2 ,1,157.216,0,2,0,12.89,-1.94
CCCCCCC#C,1,110.2,0,0,4,0,-3.66
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,1,236.271,2,2,2,75.27,-2.17
c1ccc2c(c1)ccc3c4ccccc4ccc23,2,228.294,0,4,0,0,-8.057
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,1,261.119,1,1,2,54.86,-2.523
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,1,360.882,0,2,1,0,-8.6
Cc1ccccc1O,1,108.14,1,1,0,20.23,-0.62
CC(C)CCC(C)(C)C,1,128.259,0,0,2,0,-5.05
Cc1ccc(C)c2ccccc12,1,156.228,0,2,0,0,-4.14
Cc1cc2c3ccccc3ccc2c4ccccc14,1,242.321,0,4,0,0,-6.57
CCCC(=O)C,1,86.134,0,0,2,17.07,-0.19
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,1,429.772,0,2,1,0,-9.15
CCCOC(=O)CC,1,116.16,0,0,3,26.3,-0.82
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,1,394.439,4,4,2,115.06,-3.68
Nc1ccc(O)cc1,1,109.128,2,1,0,46.25,-0.8
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,1,260.253,1,2,5,90.06,-2.81
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,1,366.844,1,4,2,54.37,-5.931
CCNc1nc(Cl)nc(n1)N(CC)CC,1,229.715,1,1,5,53.94,-4.06
NC(=O)c1cnccn1,1,123.115,1,1,1,68.87,-0.667
CCC(Br)(CC)C(=O)NC(N)=O,1,237.097,2,0,3,72.19,-2.68
Clc1ccccc1c2ccccc2Cl ,1,223.102,0,2,1,0,-5.27
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,1,238.159,1,2,3,118.05,-3.38
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,1,284.098,0,2,3,52.37,-5.46
CC1(C)C2CCC1(C)C(=O)C2,1,152.237,0,2,0,17.07,-1.96
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,1,244.25,2,2,3,75.27,-2.369
CCCCC(=O)OCC,1,130.187,0,0,4,26.3,-2.25
CC(C)CCOC(=O)C,1,130.187,0,0,3,26.3,-1.92
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,380.444,1,3,8,75.71,-5.886
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,1,257.547,0,2,1,0,-6.01
CCCBr,1,122.993,0,0,1,0,-1.73
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,1,342.226,0,3,5,49.17,-3.493
COP(=S)(OC)SCC(=O)N(C)C=O,1,257.273,0,0,6,55.84,-1.995
Cc1ncnc2nccnc12,1,146.153,0,2,0,51.56,-0.466
NC(=S)N,1,76.124,2,0,0,52.04,0.32
Cc1ccc(C)cc1,1,106.168,0,1,0,0,-2.77
CCc1ccccc1CC,1,134.222,0,1,2,0,-3.28
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,236.74,0,0,0,0,-3.67
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,1,451.469,0,3,9,68.55,-6.876
CCCN(=O)=O,1,89.094,0,0,2,43.14,-0.8
CC(C)C1CCC(C)CC1=O,1,154.253,0,1,1,17.07,-2.35
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,1,273.723,1,3,1,45.23,-5.36
O=N(=O)c1c(Cl)c(Cl)ccc1,1,192.001,0,1,1,43.14,-3.48
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,1,254.355,2,1,5,58.2,-3.46
c1ccc2c(c1)c3cccc4cccc2c34,2,202.256,0,4,0,0,-6
CCCOC(C)C,1,102.177,0,0,3,9.23,-1.34
Cc1cc(C)c2ccccc2c1,1,156.228,0,2,0,0,-4.29
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,1,268.356,2,2,4,40.46,-4.07
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,1,265.914,0,1,0,47.58,-5.64
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,1,291.992,0,2,1,0,-7.25
C1OC1c2ccccc2 ,2,120.151,0,2,1,12.53,-1.6
CC(C)c1ccccc1,1,120.195,0,1,1,0,-3.27
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,1,330.468,1,4,2,54.37,-3.45
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,1,267.93,0,2,0,25.78,-5.43
C1OC(O)C(O)C(O)C1O,1,150.13,4,1,0,90.15,0.39
ClCCl,1,84.933,0,0,0,0,-0.63
CCc1cccc2ccccc12,1,156.228,0,2,1,0,-4.17
COC=O,1,60.052,0,0,1,26.3,0.58
Oc1ccccc1N(=O)=O,1,139.11,1,1,1,63.37,-1.74
Cc1c[nH]c(=O)[nH]c1=O ,1,126.115,2,1,0,65.72,-1.506
CC(C)C,1,58.124,0,0,0,0,-2.55
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,1,268.229,4,3,2,133.75,-1.23
Oc1c(I)cc(C#N)cc1I,1,370.915,1,1,0,44.02,-3.61
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,1,327.123,2,2,3,92.47,-4.7
CCCCC,1,72.151,0,0,2,0,-3.18
c1ccccc1O,1,94.113,1,1,0,20.23,0
Nc3ccc2cc1ccccc1cc2c3 ,1,193.249,1,3,0,26.02,-5.17
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,1,180.167,1,2,0,72.68,-2.523
c1ccc2cnccc2c1,2,129.162,0,2,0,12.89,-1.45
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,1,367.86,0,1,7,38.77,-4.432
CCCCCCc1ccccc1,1,162.276,0,1,5,0,-5.21
Clc1ccccc1c2ccccc2,1,188.657,0,2,1,0,-4.54
CCCC(=C)C,1,84.162,0,0,2,0,-3.03
CC(C)C(C)C(C)C,1,114.232,0,0,2,0,-4.8
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,1,250.339,0,1,0,0,-5.65
Oc1cccc(c1)N(=O)=O,1,139.11,1,1,1,63.37,-1.01
CCCCCCCCC=C,1,140.27,0,0,7,0,-5.51
CC(=O)OCC(COC(=O)C)OC(=O)C,1,218.205,0,0,5,78.9,-0.6
CCCCc1c(C)nc(nc1O)N(C)C ,1,209.293,1,1,4,49.25,-2.24
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,1,434.294,0,3,6,59.32,-7.337
c1ccncc1,2,79.102,0,1,0,12.89,0.76
CCCCCCCBr,1,179.101,0,0,5,0,-4.43
Cc1ccncc1C,1,107.156,0,1,0,12.89,0.36
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,1,380.456,3,4,2,94.83,-3.43
CCSCc1ccccc1OC(=O)NC ,1,225.313,1,1,4,38.33,-2.09
CCOC(=O)CC(=O)OCC,1,160.169,0,0,4,52.6,-0.82
CC1=CCC(CC1)C(C)=C,1,136.238,0,1,1,0,-4.26
C1Cc2ccccc2C1,2,118.179,0,2,0,0,-3.04
CC(C)(C)c1ccc(O)cc1,1,150.221,1,1,0,20.23,-2.41
O=C2NC(=O)C1(CC1)C(=O)N2 ,1,154.125,2,2,0,75.27,-1.886
Clc1cccc(I)c1,1,238.455,0,1,0,0,-3.55
Brc1cccc2ccccc12,1,207.07,0,2,0,0,-4.35
CC/C=C/C,1,70.135,0,0,1,0,-2.54
Cc1cccc(C)n1,1,107.156,0,1,0,12.89,0.45
ClC=C(Cl)Cl,1,131.389,0,0,0,0,-1.96
Nc1cccc2ccccc12,1,143.189,1,2,0,26.02,-1.92
Cc1cccc(C)c1,1,106.168,0,1,0,0,-2.82
Oc2ncc1nccnc1n2,1,148.125,1,2,0,71.79,-1.947
CO,1,32.042,1,0,0,20.23,1.57
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,226.276,2,1,4,75.27,-2.468
CCC(=O)C,1,72.107,0,0,1,17.07,0.52
Fc1c[nH]c(=O)[nH]c1=O ,1,130.078,2,1,0,65.72,-1.077
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,1,266.257,4,3,2,126.65,-1.95
Oc1cccc(O)c1,1,110.112,2,1,0,40.46,0.81
CCCCCCO,1,102.177,1,0,4,20.23,-1.24
CCCCCCl,1,106.596,0,0,3,0,-2.73
C=CC=C,1,54.092,0,0,1,0,-1.87
CCCOC(=O)C,1,102.133,0,0,2,26.3,-0.72
Oc2ccc1CCCCc1c2 ,1,148.205,1,2,0,20.23,-1.99
NC(=O)CCl ,1,93.513,1,0,1,43.09,-0.02
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,1,413,0,1,4,27.69,-6.62
Cc1ccc(Cl)cc1,1,126.586,0,1,0,0,-3.08
CSc1nnc(c(=O)n1N)C(C)(C)C,1,214.294,1,1,1,73.8,-2.253
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,1,368.369,0,3,6,44.76,-6.01
CCCCCC=O,1,100.161,0,0,4,17.07,-1.3
CCCCOC(=O)c1ccc(N)cc1,1,193.246,1,1,4,52.32,-3.082
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,1,255.277,1,3,0,68.45,-3.043
CC(C)=CCC/C(C)=C\CO,1,154.253,1,0,4,20.23,-2.46
Clc1ccc(cc1)c2ccccc2Cl ,1,223.102,0,2,1,0,-5.28
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,408.498,1,3,10,75.71,-6.523
CCN(=O)=O,1,75.067,0,0,1,43.14,-0.22
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,1,333.266,0,1,6,89.52,-6.124
Clc1ccc(Cl)c(Cl)c1Cl,1,215.894,0,1,0,0,-4.57
CCCC(C)(COC(N)=O)COC(N)=O ,1,218.253,2,0,6,104.64,-1.807
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,1,316.485,1,4,1,37.3,-4.65
CI,1,141.939,0,0,0,0,-1
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,1,281.352,2,2,3,83.47,-1.13
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,394.471,1,3,9,75.71,-6.301
CC1=CC(=O)CC(C)(C)C1 ,1,138.21,0,1,0,17.07,-1.06
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,1,212.249,2,1,3,75.27,-2.39
CCCCC(=O)CCCC,1,142.242,0,0,6,17.07,-2.58
CCC1(CCC(=O)NC1=O)c2ccccc2 ,1,217.268,1,2,2,46.17,-2.337
CCC(C)CC,1,86.178,0,0,2,0,-3.68
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,1,376.496,0,3,9,27.69,-8.6
Cc1ccccc1n3c(C)nc2ccccc2c3=O,1,250.301,0,3,1,34.89,-2.925
ClCC#N,1,75.498,0,0,0,23.79,-0.092
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,1,333.604,0,1,5,18.46,-5.752
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,1,312.453,1,4,0,37.3,-5.66
c1ccnnc1,2,80.09,0,1,0,25.78,1.1
Clc1cc(Cl)c(Cl)c(Cl)c1,1,215.894,0,1,0,0,-4.63
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,1,414.63,1,6,0,38.69,-7.32
Nc1ccccc1O,1,109.128,2,1,0,46.25,-0.72
CCCCCCCCC(=O)OCC,1,186.295,0,0,8,26.3,-3.8
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,1,279.336,0,1,5,55.84,-1.601
CNC(=O)Oc1ccccc1OC(C)C,1,209.245,1,1,3,47.56,-2.05
CCC(C)Cl,1,92.569,0,0,1,0,-1.96
Oc1ccc2ccccc2c1,1,144.173,1,2,0,20.23,-2.28
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,1,345.226,0,2,3,57.26,-5.696
CCCCC#C,1,82.146,0,0,2,0,-2.36
CCCCCCCC#C,1,124.227,0,0,5,0,-4.24
Cc1ccccc1Cl,1,126.586,0,1,0,0,-3.52
CC(C)OC(C)C,1,102.177,0,0,2,9.23,-1.1
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1,248.307,2,2,2,86.18,-3.094
CNN,1,46.073,2,0,0,38.05,1.34
CC#C,1,40.065,0,0,0,0,-0.41
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,1,298.304,0,1,7,63.84,-4.862
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,1,281.314,1,0,7,56.79,-3.408
C=CC=O,1,56.064,0,0,1,17.07,0.57
O=c1[nH]cnc2nc[nH]c12 ,1,136.114,2,2,0,74.43,-2.296
Oc2ccc1ncccc1c2 ,1,145.161,1,2,0,33.12,-2.16
Fc1ccccc1,1,96.104,0,1,0,0,-1.8
CCCCl,1,78.542,0,0,1,0,-1.47
CCOC(=O)C,1,88.106,0,0,1,26.3,-0.04
CCCC(C)(C)C,1,100.205,0,0,1,0,-4.36
Cc1cc(C)c(C)c(C)c1C,1,148.249,0,1,0,0,-4
CC12CCC(CC1)C(C)(C)O2 ,1,154.253,0,3,0,9.23,-1.64
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,1,314.466,0,0,15,52.6,-3.896
Clc1ccc(cc1)c2ccc(Cl)cc2 ,1,223.102,0,2,1,0,-6.56
Cc1cccnc1C,1,107.156,0,1,0,12.89,0.38
CC(=C)C1CC=C(C)C(=O)C1,1,150.221,0,1,1,17.07,-2.06
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,1,342.875,0,1,8,18.46,-5.736
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1,588.562,3,7,5,160.83,-3.571
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,2,252.316,0,5,0,0,-8.804
Cc1ccc(cc1N(=O)=O)N(=O)=O,1,182.135,0,1,2,86.28,-2.82
c1c(Br)ccc2ccccc12 ,1,207.07,0,2,0,0,-4.4
CNC(=O)Oc1cccc(N=CN(C)C)c1,1,221.26,1,1,3,53.93,-2.34
COc2cnc1ncncc1n2,1,162.152,0,2,1,60.79,-1.139
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,1,266.304,1,4,1,58.12,-3.19
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,1,313.747,0,1,7,58.4,-3.658
CC(=C)C=C,1,68.119,0,0,1,0,-2.03
CC(C)=CCCC(O)(C)C=C,1,154.253,1,0,4,20.23,-1.99
COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,278.335,0,1,5,27.69,-4.57
OC1CCCCC1,1,100.161,1,1,0,20.23,-0.44
O=C1NC(=O)NC(=O)C1(C)CC=C,1,182.179,2,1,2,75.27,-1.16
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,1,290.447,1,4,0,37.3,-4.16
OCC(O)C(O)C(O)C(O)CO ,1,182.172,6,0,5,121.38,0.06
Cc1ccc(cc1)c2ccccc2,1,168.239,0,2,1,0,-4.62
CCNc1nc(Cl)nc(NC(C)C)n1,1,215.688,2,1,4,62.73,-3.85
NC(=S)Nc1ccccc1,1,152.222,2,1,1,38.05,-1.77
CCCC(=O)CCC,1,114.188,0,0,4,17.07,-1.3
CC(=O)C(C)(C)C,1,100.161,0,0,0,17.07,-0.72
Oc1ccc(Cl)cc1,1,128.558,1,1,0,20.23,-0.7
O=C1CCCCC1,1,98.145,0,1,0,17.07,-0.6
Cc1cccc(N)c1,1,107.156,1,1,0,26.02,-0.85
ClC(Cl)(Cl)C#N,1,144.388,0,0,0,23.79,-2.168
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,1,303.671,1,2,2,46.92,-4.046
CCCCCCCCC(=O)C,1,156.269,0,0,7,17.07,-3.3
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,1,243.742,1,1,5,53.94,-3.785
CCOC(=O)c1ccc(N)cc1,1,165.192,1,1,2,52.32,-2.616
Clc1ccc(Cl)c(Cl)c1,1,181.449,0,1,0,0,-3.59
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,1,343.217,0,4,1,43.07,-4.09
Oc1ccccc1O,1,110.112,2,1,0,40.46,0.62
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,1,254.293,0,3,1,49.33,-2.62
CSC,1,62.137,0,0,0,0,-0.45
Cc1ccccc1Br,1,171.037,0,1,0,0,-2.23
CCOC(=O)N,1,89.094,1,0,1,52.32,0.85
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,1,384.516,0,4,2,60.44,-5.35
CC(C)C(O)C(C)C,1,116.204,1,0,2,20.23,-1.22
c1ccc2ccccc2c1,2,128.174,0,2,0,0,-3.6
CCNc1ccccc1,1,121.183,1,1,2,12.03,-1.7
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1,252.273,2,3,2,58.2,-4.097
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,1,256.348,0,4,0,0,-7.02
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,1,393.854,0,2,8,55.84,-6.34
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,1,345.653,0,2,4,18.46,-6.89
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,1,381.112,2,2,2,58.2,-7.28
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,1,366.417,1,3,7,75.71,-4.678
CN(C)C(=O)Nc1ccc(Cl)cc1,1,198.653,1,1,1,32.34,-2.89
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,1,301.296,1,3,4,50.94,-3.37
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,1,478.513,2,4,4,127.2,-4.13
CCCCBr,1,137.02,0,0,2,0,-2.37
Brc1cc(Br)c(Br)cc1Br,1,393.698,0,1,0,0,-6.98
CC(C)CC(=O)C,1,100.161,0,0,2,17.07,-0.74
CCSC(=O)N(CC)C1CCCCC1 ,1,215.362,0,1,3,20.31,-3.4
COc1ccc(Cl)cc1,1,142.585,0,1,1,9.23,-2.78
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,1,505.206,0,3,6,59.32,-8.402
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1,224.26,2,1,4,75.27,-2.016
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,1,277.238,0,1,5,70.83,-4.04
Ic1cccc2ccccc12,1,254.07,0,2,0,0,-4.55
OCC(O)C(O)C(O)C(O)CO,1,182.172,6,0,5,121.38,1.09
CCS,1,62.137,1,0,0,0,-0.6
ClCC(Cl)Cl,1,133.405,0,0,1,0,-1.48
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,1,245.282,0,2,2,47.36,-2.09
NC(=O)c1ccccc1O,1,137.138,2,1,1,63.32,-1.82
Cc1ccccc1N(=O)=O,1,137.138,0,1,1,43.14,-2.33
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,1,212.249,2,1,2,75.27,-2.766
CCc1ccccc1C,1,120.195,0,1,1,0,-3.21
CCCCCCCCl,1,134.65,0,0,5,0,-4
